Id,firstflrsf,GrLivArea,LotArea,GarageArea,BsmtUnfSF,TotalBsmtSF,LotFrontage,GarageYrBlt,MoSold,YearBuilt,SalePrice
367,1394,1394,9500,514,785,1394,0.0,1963.0,7,1963,159000
368,1431,1431,9150,296,728,1099,101.0,1962.0,12,1962,165000
369,1268,1268,7800,244,728,1268,78.0,1954.0,3,1954,132000
370,1287,1287,9830,576,733,1063,0.0,1997.0,3,1959,162000
371,953,1664,8121,460,953,953,0.0,2000.0,1,2000,172400
372,1120,1588,17120,680,0,0,80.0,1991.0,7,1959,134432
373,752,752,7175,264,0,744,50.0,1984.0,2,1984,125000
374,1319,1319,10634,270,0,608,79.0,1953.0,11,1953,123000
375,847,1928,8200,434,847,847,65.0,2003.0,7,2003,219500
376,904,904,10020,0,333,683,0.0,1979.0,3,1922,61000
377,914,914,8846,576,572,870,57.0,1998.0,7,1996,148000
378,1580,2466,11143,610,1580,1580,102.0,2004.0,12,2004,340000
379,1856,1856,11394,834,411,1856,88.0,2010.0,6,2010,394432
380,1007,1800,8123,463,982,982,60.0,2000.0,6,2000,179000
381,1026,1691,5000,308,808,1026,50.0,1924.0,5,1924,127000
382,1301,1301,7200,572,1293,1293,60.0,2006.0,8,2006,187750
383,939,1797,9245,639,939,939,79.0,2006.0,4,2006,213500
384,784,784,9000,360,784,784,60.0,1950.0,10,1928,76000
385,1079,1953,53107,501,595,1580,0.0,1992.0,6,1992,240000
386,1269,1269,3182,430,1232,1256,43.0,2004.0,4,2004,192000
387,658,1184,8410,0,658,658,58.0,1979.0,5,1910,81000
388,1125,1125,7200,352,410,1041,72.0,1977.0,10,1976,125000
389,1479,1479,9382,577,1468,1468,93.0,1999.0,7,1999,191000
390,1742,2332,12474,846,402,1682,96.0,2008.0,8,2007,426000
391,961,1367,8405,384,229,861,50.0,1978.0,4,1900,119000
392,804,1961,12209,560,114,804,71.0,2001.0,6,2001,215000
393,882,882,8339,294,0,0,0.0,1959.0,7,1959,106500
394,788,788,7446,0,522,788,0.0,1979.0,4,1941,100000
395,735,1034,10134,240,735,735,60.0,1940.0,7,1940,109000
396,1144,1144,9571,596,405,1144,68.0,1956.0,6,1956,129000
397,894,894,7200,600,117,894,60.0,1985.0,9,1972,123000
398,876,1812,7590,264,324,864,69.0,1962.0,7,1962,169500
399,1077,1077,8967,338,961,961,60.0,1920.0,11,1920,67000
400,1112,1550,8125,438,280,1092,65.0,2007.0,10,2006,241000
401,1288,1288,14963,500,474,1260,38.0,1996.0,12,1996,245500
402,1310,1310,8767,400,1286,1310,65.0,2005.0,7,2005,164990
403,672,672,10200,240,672,672,60.0,1940.0,8,1940,108000
404,1165,2263,12090,420,1141,1141,93.0,1998.0,7,1998,258000
405,806,1572,10364,373,806,806,0.0,1995.0,5,1995,168000
406,1620,1620,9991,490,165,1281,0.0,1993.0,6,1976,150000
407,1166,1639,10480,240,1064,1064,51.0,1936.0,3,1936,115000
408,840,1680,15576,308,840,840,63.0,1960.0,3,1915,177000
409,1071,2172,14154,947,1063,1063,109.0,2006.0,8,2006,280000
410,1050,2078,10800,836,245,1034,85.0,2008.0,4,2007,339750
411,1276,1276,9571,350,1276,1276,68.0,1958.0,6,1958,60000
412,1056,1056,34650,572,0,1056,100.0,1955.0,1,1955,145000
413,1478,1478,4403,484,892,1470,0.0,2009.0,6,2009,222000
414,1028,1028,8960,360,1008,1008,56.0,1927.0,3,1927,115000
415,1080,2097,11228,678,499,1080,59.0,1993.0,12,1993,228000
416,1340,1340,8899,396,1316,1340,73.0,2007.0,8,2007,181134
417,672,1400,7844,440,463,672,74.0,1978.0,3,1978,149500
418,1370,2624,22420,864,242,1370,86.0,1918.0,11,1918,239000
419,756,1134,8160,240,444,756,60.0,1940.0,4,1940,126000
420,1056,1056,8450,304,281,1056,65.0,1968.0,7,1968,142000
421,1344,1344,7060,784,35,1344,78.0,1997.0,11,1997,206300
422,1602,1602,16635,529,356,1602,0.0,1977.0,6,1977,215000
423,988,988,21750,520,988,988,100.0,1954.0,2,1954,113000
424,1470,2630,9200,696,484,1470,80.0,1998.0,6,1998,315000
425,1196,1196,9000,297,580,1196,72.0,1956.0,5,1956,139000
426,707,1389,3378,240,651,651,60.0,1947.0,9,1946,135000
427,1644,1644,12800,569,0,1518,0.0,1989.0,8,1989,275000
428,907,907,8593,352,619,907,77.0,1964.0,7,1957,109008
429,1208,1208,6762,628,544,1208,64.0,2007.0,9,2007,195400
430,1412,1412,11457,576,387,1392,130.0,1988.0,3,1988,175000
431,483,987,1680,264,96,483,21.0,1971.0,7,1971,85400
432,1088,1198,5586,0,901,901,60.0,1979.0,9,1920,79900
433,765,1365,1920,440,294,765,24.0,1971.0,8,1971,122500
434,926,1604,10839,470,926,926,100.0,1997.0,7,1997,181000
435,630,630,1890,0,135,630,21.0,1979.0,6,1972,81000
436,827,1661,10667,550,70,799,43.0,1996.0,4,1996,212000
437,734,1118,4400,440,648,648,40.0,1990.0,10,1920,116000
438,904,904,6000,180,884,884,50.0,1926.0,1,1926,119000
439,694,694,4280,352,75,440,40.0,1990.0,3,1913,90350
440,684,1196,12354,528,684,684,67.0,2005.0,8,1920,110000
441,2402,2402,15431,672,788,3094,105.0,2008.0,4,2008,555000
442,1440,1440,12108,0,1307,1440,92.0,1979.0,9,1955,118000
443,1128,1573,6240,360,1078,1078,52.0,1930.0,6,1930,162900
444,1258,1258,3922,648,1258,1258,53.0,2007.0,6,2006,172500
445,933,1908,8750,493,273,915,70.0,1994.0,7,1994,210000
446,1689,1689,9855,480,1436,1436,73.0,1956.0,11,1956,127500
447,1888,1888,16492,578,557,1517,137.0,1966.0,6,1966,190000
448,956,1886,11214,431,930,930,0.0,1998.0,7,1998,199900
449,780,1376,8600,198,780,780,50.0,1937.0,6,1937,119500
450,679,1183,6000,308,318,649,50.0,1981.0,6,1948,120000
451,813,813,5684,270,813,813,70.0,1932.0,6,1930,110000
452,1533,1533,70761,576,878,1533,62.0,1975.0,12,1975,280000
453,888,1756,9303,422,130,872,0.0,1996.0,7,1996,204000
454,786,1590,9000,676,768,768,75.0,2008.0,6,2008,210000
455,1728,1728,9297,560,122,1728,63.0,1976.0,7,1976,188000
456,1242,1242,9600,528,326,1242,80.0,1973.0,9,1973,175500
457,624,1344,4571,513,624,624,34.0,1916.0,5,1916,98000
458,1663,1663,53227,529,248,1364,0.0,1954.0,3,1954,256000
459,833,1666,5100,228,588,588,0.0,1925.0,6,1925,161000
460,979,1203,7015,352,524,709,0.0,1950.0,7,1950,110000
461,832,1935,8004,552,288,832,75.0,2009.0,12,2009,263435
462,575,1135,7200,576,0,560,60.0,1971.0,4,1936,155000
463,864,864,8281,360,0,864,60.0,1965.0,12,1965,62383
464,849,1660,11988,240,389,715,74.0,1939.0,8,1934,188700
465,1040,1040,8430,0,424,1040,60.0,1979.0,8,1978,124000
466,1414,1414,3072,398,1375,1375,0.0,2004.0,5,2004,178740
467,1277,1277,10628,526,499,1277,85.0,1970.0,4,1970,167000
468,888,1644,9480,312,342,728,79.0,1942.0,6,1942,146500
469,1634,1634,11428,866,1626,1626,98.0,2006.0,5,2006,250000
470,832,1710,9291,506,406,832,76.0,1993.0,6,1993,187000
471,1502,1502,6820,528,0,1488,0.0,1985.0,6,1985,212000
472,1161,1969,11952,534,808,808,92.0,1977.0,11,1977,190000
473,1072,1072,3675,525,88,547,35.0,2005.0,6,2005,148000
474,1976,1976,14977,908,626,1976,110.0,2006.0,7,2006,440000
475,1652,1652,5330,499,298,1494,41.0,2000.0,8,2000,251000
476,970,970,8480,624,340,970,80.0,1996.0,7,1963,132500
477,1493,1493,13125,508,484,1478,75.0,1997.0,4,1997,208900
478,2069,2643,13693,694,2153,2153,105.0,2006.0,3,2006,380000
479,1718,1718,10637,826,417,1705,79.0,2007.0,9,2007,297000
480,1131,1131,5925,672,739,907,50.0,1995.0,3,1937,89471
481,1850,1850,16033,772,572,1833,98.0,2004.0,3,2004,326000
482,1792,1792,11846,874,225,1792,72.0,2003.0,8,2003,374000
483,916,1826,2500,164,611,910,50.0,1915.0,6,1915,155000
484,1216,1216,4500,402,319,1216,32.0,1998.0,5,1998,164000
485,999,999,7758,264,411,999,0.0,1963.0,3,1962,132500
486,1113,1113,9600,264,506,1113,80.0,1950.0,7,1950,147000
487,1073,1073,10289,515,237,1073,79.0,1965.0,6,1965,156000
488,1484,1484,12243,487,486,1484,70.0,1971.0,2,1971,175000
489,1766,2414,10800,520,290,954,60.0,1970.0,5,1900,160000
490,630,630,1526,286,115,630,21.0,1970.0,5,1970,86000
491,616,1304,2665,336,264,264,0.0,1976.0,6,1976,115000
492,958,1578,9490,240,238,806,79.0,1941.0,8,1941,133000
493,728,1456,15578,429,728,728,105.0,2006.0,5,2006,172785
494,1269,1269,7931,308,363,1269,70.0,1964.0,6,1960,155000
495,886,886,5784,273,190,190,50.0,1938.0,12,1938,91300
497,3228,3228,12692,546,1969,3200,0.0,1992.0,5,1992,430000
498,1133,1820,9120,240,697,1026,60.0,1925.0,6,1925,184000
499,899,899,7800,288,414,864,65.0,1967.0,6,1967,130000
500,912,912,7535,297,522,912,70.0,1958.0,6,1958,120000
501,672,1218,1890,264,316,672,21.0,1973.0,5,1973,113000
502,866,1768,9803,603,466,866,75.0,2005.0,2,2005,226700
503,1214,1214,9170,461,420,1214,70.0,1965.0,4,1965,140000
504,1801,1801,15602,484,254,1501,100.0,1959.0,3,1959,289000
505,855,1322,2308,440,103,855,24.0,1974.0,6,1974,147000
506,960,1960,7596,400,960,960,60.0,1952.0,7,1952,124500
507,1065,1911,9554,471,397,777,80.0,1993.0,9,1993,215000
508,1218,1218,7862,676,1191,1218,75.0,2009.0,9,2009,208300
509,689,1378,9600,360,548,689,60.0,1928.0,10,1928,161000
510,1041,1041,9600,270,50,1041,80.0,1959.0,7,1959,124500
511,1363,1363,14559,288,178,1008,75.0,1951.0,6,1951,164900
512,1368,1368,6792,474,1368,1368,40.0,2005.0,3,2005,202665
513,864,864,9100,624,169,864,70.0,1964.0,7,1958,129900
514,1080,1080,9187,484,748,1084,71.0,1983.0,6,1983,134000
515,789,789,10594,200,768,768,55.0,1926.0,6,1926,96500
516,2020,2020,12220,900,570,2006,94.0,2009.0,9,2009,402861
517,1378,2119,10448,583,689,689,0.0,1972.0,8,1972,158000
518,1277,2344,10208,889,1264,1264,79.0,1996.0,7,1996,265000
519,882,1796,9531,546,88,794,0.0,1998.0,5,1998,211000
520,1276,2080,10918,282,1276,1276,53.0,1926.0,6,1926,234000
521,694,1294,10800,0,0,0,60.0,1979.0,8,1900,106250
522,1244,1244,11988,336,467,1244,90.0,1957.0,5,1957,150000
523,1004,1664,5000,420,605,1004,50.0,1950.0,10,1947,159000
524,3138,4676,40094,884,878,3138,130.0,2007.0,10,2007,184750
525,1383,2398,11787,834,660,1379,95.0,1996.0,8,1996,315750
526,1266,1266,7500,453,1257,1257,62.0,2005.0,4,2005,176000
527,928,928,13300,252,551,928,70.0,1956.0,6,1956,132000
528,1476,2713,14948,858,122,1452,67.0,2008.0,11,2008,446261
529,605,605,9098,0,180,528,58.0,1979.0,7,1920,86000
530,2515,2515,32668,484,816,2035,0.0,1975.0,3,1957,200624
531,1509,1509,10200,600,678,1461,85.0,1988.0,8,1988,175000
532,751,1362,6155,502,611,611,60.0,1920.0,6,1920,128000
533,827,827,7200,392,0,0,60.0,1967.0,4,1955,107500
534,334,334,5000,0,0,0,50.0,1979.0,1,1946,39300
535,707,1414,9056,403,707,707,74.0,2004.0,10,2004,178000
536,820,1347,7000,0,148,1117,70.0,1979.0,1,1910,107500
537,880,1724,8924,527,880,880,57.0,1998.0,7,1998,188000
538,864,864,12735,576,264,864,0.0,1980.0,4,1972,111250
539,1159,1159,11553,336,378,1051,0.0,1968.0,7,1968,158000
540,1601,1601,11423,670,223,1581,0.0,2001.0,5,2001,272000
541,1838,1838,14601,765,578,1838,85.0,2006.0,3,2006,315000
542,997,2285,11000,648,969,969,0.0,2000.0,6,2000,248000
543,1680,1680,10140,583,379,1650,78.0,1998.0,6,1998,213250
544,767,767,4058,367,0,723,34.0,1998.0,6,1998,133000
545,664,1496,17104,426,100,654,58.0,2006.0,9,2006,179665
546,1377,2183,13837,786,0,1204,0.0,1988.0,2,1988,229000
547,915,1635,8737,440,765,1065,70.0,1950.0,5,1923,210000
548,768,768,7244,624,149,768,54.0,1987.0,4,1970,129500
549,825,825,8235,720,0,825,49.0,1963.0,6,1955,125000
550,912,2094,9375,615,912,912,75.0,2003.0,11,2003,263000
551,1069,1069,4043,440,510,1069,53.0,1977.0,10,1977,140000
552,928,928,6000,288,620,928,50.0,1957.0,6,1957,112500
553,1717,1717,11146,908,1709,1709,87.0,2006.0,7,2006,255500
554,1126,1126,8777,520,0,0,67.0,2002.0,5,1949,108000
555,1006,2046,10625,871,132,998,85.0,2003.0,8,2003,284000
556,1048,1048,6380,280,993,993,58.0,1922.0,8,1922,113000
557,1092,1092,14850,299,197,1092,69.0,1957.0,5,1957,141000
559,729,1446,21872,406,125,729,57.0,1996.0,8,1996,175000
560,1557,1557,3196,420,1374,1374,0.0,2003.0,10,2003,234000
561,1392,1392,11341,528,90,1392,0.0,1957.0,5,1957,121500
562,1389,1389,10010,418,195,1389,77.0,1975.0,4,1974,170000
563,996,996,13907,0,706,996,63.0,1979.0,7,1940,108000
564,1163,1674,21780,396,1163,1163,66.0,1955.0,7,1918,185000
565,1166,2295,13346,590,367,1095,0.0,1992.0,7,1992,268000
566,841,1647,6858,216,806,806,66.0,1920.0,5,1915,128000
567,1134,2504,11198,656,1122,1122,77.0,2005.0,6,2005,325000
568,1535,1535,10171,532,1515,1517,70.0,2004.0,3,2004,214000
569,1496,2132,12327,612,55,1496,79.0,1983.0,9,1983,316600
570,943,943,7032,600,0,943,0.0,1979.0,12,1979,135960
571,1728,1728,13101,576,1497,1728,74.0,1987.0,11,1965,142600
572,864,864,7332,288,450,864,60.0,1959.0,10,1959,120000
573,846,1692,13159,650,846,846,83.0,2009.0,7,2009,224500
574,774,1430,9967,400,384,384,76.0,2000.0,12,2000,170000
575,576,1109,10500,288,23,372,70.0,1971.0,12,1971,139000
576,832,1216,8480,336,390,832,80.0,1947.0,10,1947,118500
577,877,1477,6292,216,861,861,52.0,1928.0,8,1928,145000
578,1320,1320,11777,564,285,1164,96.0,1966.0,5,1966,164500
579,703,1392,3604,540,689,689,34.0,2007.0,2,2007,146000
580,1050,1795,12150,352,1050,1050,81.0,1954.0,11,1954,131500
581,1429,1429,14585,572,331,1144,0.0,1960.0,6,1960,181900
582,2042,2042,12704,1390,2042,2042,98.0,2009.0,8,2008,253293
583,816,816,11841,0,0,816,81.0,1979.0,5,1990,118500
584,1521,2775,13500,880,1237,1237,75.0,1988.0,7,1893,325000
585,989,1573,6120,240,884,884,51.0,1935.0,7,1935,133000
586,2028,2028,11443,880,408,1868,88.0,2005.0,3,2005,369900
587,838,838,10267,275,0,816,55.0,1961.0,5,1918,130000
588,860,860,8740,528,168,840,74.0,1996.0,7,1982,137000
589,1473,1473,25095,452,113,1437,65.0,1968.0,6,1968,143000
590,779,935,9100,308,742,742,50.0,1988.0,8,1930,79500
591,770,1582,8320,520,280,770,64.0,2004.0,9,2004,185900
592,1728,2296,13478,842,384,1722,97.0,2008.0,6,2008,451950
593,816,816,6600,816,0,816,60.0,1985.0,6,1982,138000
594,848,848,4435,420,163,848,0.0,2003.0,5,2003,140000
595,924,924,7990,280,924,924,88.0,1981.0,4,1975,110000
596,1826,1826,11302,758,392,1814,69.0,2005.0,8,2005,319000
597,684,1368,3600,216,684,684,60.0,1930.0,10,1910,114504
598,1402,1402,3922,648,1258,1258,53.0,2006.0,2,2006,194201
599,1647,1647,12984,621,0,1430,80.0,1977.0,3,1977,217500
600,716,1556,1950,452,23,716,24.0,1980.0,7,1980,151000
601,1058,1904,10927,736,512,1058,74.0,2003.0,6,2005,275000
602,780,1375,9000,544,780,780,50.0,1979.0,12,1937,141000
603,927,1915,10041,506,119,908,80.0,1992.0,2,1992,220000
604,600,1200,3182,480,600,600,30.0,2004.0,6,2004,151000
605,1494,1494,12803,530,572,1494,88.0,2002.0,9,2002,221000
606,1186,1986,13600,486,314,768,85.0,1965.0,10,1965,205000
607,1040,1040,12464,576,308,1040,82.0,2000.0,11,1996,152000
608,1112,2008,7800,230,293,896,78.0,1948.0,8,1948,225000
609,1940,3194,12168,380,537,965,78.0,1934.0,9,1934,359100
610,1029,1029,7943,261,126,1029,61.0,1961.0,4,1961,118500
611,1476,2153,11050,736,536,1440,0.0,2000.0,5,2000,313000
612,1032,1032,10395,564,427,1032,0.0,1978.0,7,1978,148000
613,1299,1872,11885,531,309,1299,0.0,2001.0,11,2001,261500
614,1120,1120,8402,0,914,1120,70.0,1979.0,12,2007,147000
615,630,630,1491,0,0,630,21.0,1979.0,5,1972,75500
616,1054,1054,8800,480,173,936,80.0,1963.0,5,1963,137500
617,807,1509,7861,393,326,783,0.0,2002.0,6,2002,183200
618,832,832,7227,528,832,832,59.0,1962.0,6,1954,105500
619,1828,1828,11694,774,1774,1822,90.0,2007.0,7,2007,314813
620,1482,2262,12244,749,611,1482,85.0,2003.0,8,2003,305000
621,864,864,8248,0,823,864,45.0,1979.0,9,1914,67000
622,1548,2614,10800,624,384,1522,90.0,1974.0,6,1974,240000
623,980,980,7064,484,420,980,71.0,1986.0,7,1977,135000
624,756,1512,2117,440,336,756,0.0,2000.0,6,2000,168500
625,1012,1790,10400,484,485,732,80.0,1972.0,11,1972,165150
626,1116,1116,10000,440,1116,1116,87.0,1962.0,2,1962,160000
627,1422,1422,12342,286,978,978,0.0,1960.0,8,1960,139900
628,1520,1520,9600,364,350,1156,80.0,1955.0,3,1955,153000
629,1040,2080,11606,504,390,1040,70.0,1969.0,9,1969,135000
630,1350,1350,9020,520,288,1248,82.0,1964.0,6,1964,168500
631,1089,1750,9000,240,636,636,50.0,1937.0,6,1880,124000
632,1554,1554,4590,627,1530,1554,34.0,2006.0,8,2006,209500
633,1411,1411,11900,544,564,1386,85.0,1977.0,4,1977,82500
634,1056,1056,9250,260,108,1056,80.0,1954.0,7,1954,139400
635,1056,1056,6979,576,0,1056,64.0,1980.0,6,1980,144000
636,1440,3395,10896,0,1184,1440,60.0,1979.0,3,1914,200000
637,800,800,6120,0,264,264,51.0,1979.0,1,1936,60000
638,811,1387,6000,256,811,811,50.0,1954.0,11,1954,93000
639,796,796,8777,0,796,796,67.0,1979.0,5,1910,85000
640,1567,1567,3982,648,366,1520,53.0,2006.0,10,2006,264561
641,1518,1518,12677,588,300,1518,62.0,2003.0,4,2003,274000
642,1057,1929,7050,650,319,1057,0.0,2001.0,5,2001,226000
643,2000,2704,13860,538,542,1952,75.0,1972.0,7,1972,345000
644,780,1620,10793,462,0,780,80.0,1969.0,4,1969,152000
645,1766,1766,9187,478,645,1766,85.0,2009.0,10,2009,370878
646,981,981,10530,576,664,981,0.0,1979.0,3,1971,143250
647,1048,1048,7200,420,0,0,60.0,1950.0,7,1950,98300
648,1094,1094,10452,495,594,1094,85.0,1953.0,6,1953,155000
649,1051,1839,7700,442,756,756,70.0,1966.0,6,1966,155000
650,630,630,1936,0,0,630,21.0,1979.0,12,1970,84500
651,822,1665,8125,562,813,813,65.0,2007.0,5,2007,205950
652,755,1510,9084,296,755,755,60.0,1940.0,10,1940,108000
653,909,1716,8750,512,880,880,70.0,1996.0,7,1996,191000
654,756,1469,10320,216,756,756,60.0,1906.0,6,1906,135000
655,2113,2113,10437,839,413,2109,91.0,1995.0,8,1995,350000
656,525,1092,1680,264,525,525,21.0,1971.0,3,1971,88000
657,1053,1053,10007,312,247,1053,72.0,1959.0,8,1959,145500
658,851,1502,7200,270,776,776,60.0,1931.0,2,1931,149000
659,912,1458,17503,330,912,912,78.0,1948.0,1,1948,97500
660,1486,1486,9937,480,849,1486,75.0,1968.0,3,1964,167000
661,1142,1935,12384,550,793,793,0.0,1976.0,11,1976,197900
662,1686,2448,46589,711,88,1629,52.0,1994.0,7,1994,402000
663,1392,1392,13560,576,1392,1392,120.0,1968.0,7,1968,110000
664,1181,1181,10012,588,38,1138,90.0,1974.0,4,1972,137500
665,2097,2097,20896,1134,356,2077,49.0,2005.0,1,2005,423000
666,1454,1936,11194,504,1406,1406,106.0,2000.0,11,2000,230500
667,1465,2380,18450,596,111,1021,0.0,1965.0,8,1965,129000
668,1679,1679,8125,575,270,1408,65.0,1994.0,10,1994,193500
669,1437,1437,14175,576,200,1188,0.0,1999.0,11,1956,168000
670,1180,1180,11600,252,700,700,80.0,1922.0,7,1922,137500
671,738,1476,8633,540,545,738,64.0,2005.0,2,2005,173500
672,697,1369,6629,300,121,672,54.0,1930.0,7,1925,103600
673,1208,1208,11250,546,441,1208,0.0,1977.0,6,1977,165000
674,1839,1839,14442,416,291,1477,110.0,1957.0,6,1957,257500
675,1136,1136,9200,384,244,1136,80.0,1965.0,7,1965,140000
676,855,1441,2289,440,544,855,24.0,1978.0,4,1978,148500
677,1095,1774,9600,779,1095,1095,60.0,1920.0,5,1900,87000
678,792,792,9022,240,768,768,52.0,1924.0,5,1924,109500
679,2046,2046,11844,834,2046,2046,80.0,2008.0,7,2008,372500
680,988,988,9945,572,161,988,0.0,1963.0,10,1961,128500
681,923,923,8012,264,261,923,50.0,1980.0,5,1980,143000
682,848,1520,4500,281,611,793,55.0,1968.0,7,1932,159434
683,1291,1291,2887,431,288,1291,0.0,1996.0,11,1996,173000
684,1668,1668,11248,702,567,1626,90.0,2002.0,7,2002,285000
685,1195,1839,16770,486,1195,1195,58.0,1998.0,6,1998,221000
686,1190,2090,5062,577,180,1190,0.0,1984.0,9,1984,207500
687,874,1761,10207,578,874,874,84.0,2007.0,8,2007,227875
688,551,1102,5105,480,312,551,0.0,2004.0,3,2004,148800
689,1419,1419,8089,567,474,1419,60.0,2007.0,10,2007,392000
690,1362,1362,7577,460,1342,1362,61.0,2005.0,6,2005,194700
691,848,848,4426,420,151,848,0.0,2004.0,5,2004,141000
692,2444,4316,21535,832,989,2444,104.0,1994.0,1,1994,755000
693,1238,2519,26178,628,245,1210,42.0,1989.0,4,1989,335000
694,1073,1073,5400,326,1073,1073,60.0,1968.0,12,1921,108480
695,1067,1539,6120,576,927,927,51.0,1995.0,4,1936,141500
696,1137,1137,13811,551,92,1112,54.0,1987.0,7,1987,176000
697,616,616,6000,205,0,616,50.0,1921.0,6,1921,89000
698,1148,1148,6420,308,219,980,57.0,1952.0,9,1952,123500
699,894,894,8450,336,224,894,65.0,1973.0,4,1965,138500
700,1391,1391,4282,530,1375,1391,59.0,2004.0,7,2004,196000
701,1800,1800,14331,765,526,1800,85.0,2002.0,5,2002,312500
702,1164,1164,9600,528,1164,1164,80.0,1969.0,7,1969,140000
703,1264,2576,12438,666,1234,1234,82.0,2006.0,7,2006,361919
704,1032,1812,7630,672,360,360,76.0,1999.0,5,1900,140000
705,1484,1484,8400,606,761,1473,70.0,2004.0,5,2004,213000
706,372,1092,5600,0,0,0,70.0,1979.0,7,1930,55000
707,1824,1824,115149,739,424,1643,0.0,1971.0,6,1971,302000
708,1324,1324,6240,550,461,1324,48.0,2006.0,12,2006,254000
709,728,1456,9018,400,728,728,65.0,2007.0,7,2007,179540
710,904,904,7162,408,876,876,0.0,1966.0,12,1966,109900
711,729,729,4130,0,270,270,56.0,1979.0,7,1935,52000
713,1228,1228,4671,472,461,1228,40.0,1988.0,10,1988,189000
714,960,960,9873,576,171,960,60.0,1970.0,5,1970,129000
715,725,1479,13517,475,192,725,0.0,1976.0,3,1976,130500
716,1350,1350,10140,478,1064,1064,78.0,1974.0,8,1974,165000
717,1576,2554,10800,704,718,718,60.0,1996.0,7,1890,159500
718,1178,1178,10000,439,92,1176,80.0,1973.0,11,1973,157000
719,1325,2418,10542,983,138,1311,96.0,1993.0,8,1993,341000
720,971,971,9920,300,448,971,69.0,1969.0,5,1969,128500
721,1742,1742,6563,564,594,1742,0.0,1985.0,12,1985,275000
722,848,848,4426,420,186,848,0.0,2004.0,5,2004,143000
723,864,864,8120,463,673,864,70.0,1994.0,7,1970,124500
724,997,1470,8172,548,941,941,60.0,1958.0,5,1954,135000
725,1698,1698,13286,768,464,1698,86.0,2007.0,2,2007,320000
726,864,864,6960,660,250,864,60.0,1989.0,11,1970,120500
727,1680,1680,21695,540,72,880,0.0,1988.0,12,1988,222000
728,1232,1232,7314,632,508,1232,64.0,2007.0,2,2007,194500
729,1776,1776,11475,888,1584,1584,85.0,1968.0,7,1958,110000
730,848,1208,6240,539,628,780,52.0,1962.0,1,1925,103000
731,1616,1616,5389,608,415,1595,39.0,1995.0,3,1995,236500
732,1146,1146,9590,438,82,868,73.0,2003.0,5,2003,187500
733,1153,2031,11404,541,901,1153,75.0,1998.0,7,1998,222500
734,1144,1144,10000,264,270,864,80.0,1961.0,3,1961,131400
